,,,,,,,
,,,,,,,
Grade,Program Code,Program Name,School Name,Requests per seat,Total Requests,Total Assigned,Total Seats
10,GE,GE: General Education,Jordan (June) HS,0.1,6,50,50
10,MM,MM: SDC - Mild to Moderate,Jordan (June) HS,0.0,0,2,3
10,GE,GE: General Education,Burton (Phillip and Sala) HS,0.0,7,271,271
10,MM,MM: SDC - Mild to Moderate,Burton (Phillip and Sala) HS,0.0,0,1,10
10,MS,MS: SDC - Extensive Services,Burton (Phillip and Sala) HS,0.0,0,2,5
10,GE,GE: General Education,Wallenberg (Raoul) HS,0.1,15,129,150
10,MM,MM: SDC - Mild to Moderate,Wallenberg (Raoul) HS,0.0,0,5,2
10,GE,GE: General Education,Asawa (Ruth) SOTA HS,-,18,171,0
10,AO,AO: SDC - Auditory/Oral,The Academy - SF @ McAteer HS,0.0,0,1,3
10,GE,GE: General Education,The Academy - SF @ McAteer HS,0.1,7,49,50
10,MM,MM: SDC - Mild to Moderate,The Academy - SF @ McAteer HS,0.0,0,0,3
10,TC,TC: SDC - Total Communication,The Academy - SF @ McAteer HS,0.0,0,2,4
10,GE,GE: General Education,Marshall (Thurgood) HS,0.1,3,47,50
10,MM,MM: SDC - Mild to Moderate,Marshall (Thurgood) HS,0.0,0,3,4
10,NX,NX: Newcomer Program,Marshall (Thurgood) HS,0.0,1,76,100
11,AF,AF: SDC - Mild/Mod Autism Focus,Lincoln (Abraham) HS,0.3,1,4,4
11,ED,ED: SDC - SOAR,Lincoln (Abraham) HS,0.0,0,1,3
11,GE,GE: General Education,Lincoln (Abraham) HS,0.1,46,460,460
11,MM,MM: SDC - Mild to Moderate,Lincoln (Abraham) HS,0.0,1,11,25
11,MS,MS: SDC - Extensive Services,Lincoln (Abraham) HS,0.0,0,3,3
11,NX,NX: Newcomer Program,Lincoln (Abraham) HS,0.0,0,57,50
11,SA,SA: SDC - Extensive Services Autism Focus,Lincoln (Abraham) HS,0.0,0,0,3
11,GE,GE: General Education,Balboa HS,0.1,20,300,300
11,MM,MM: SDC - Mild to Moderate,Balboa HS,0.0,0,9,8
11,MS,MS: SDC - Extensive Services,Balboa HS,0.0,0,4,4
11,ED,ED: SDC - SOAR,Galileo HS,0.0,0,0,2
11,GE,GE: General Education,Galileo HS,0.1,22,375,363
11,MM,MM: SDC - Mild to Moderate,Galileo HS,0.0,0,3,8
11,MS,MS: SDC - Extensive Services,Galileo HS,0.0,0,5,5
11,NX,NX: Newcomer Program,Galileo HS,0.0,0,57,75
11,ED,ED: SDC - SOAR,Washington (George) HS,0.0,0,7,7
11,GE,GE: General Education,Washington (George) HS,0.1,32,495,495
11,MM,MM: SDC - Mild to Moderate,Washington (George) HS,0.0,0,13,14
11,MS,MS: SDC - Extensive Services,Washington (George) HS,0.0,0,8,8
11,GX,GX: General Education Newcomer,SF International HS,0.0,0,11,10
11,NC,NC: Chinese Newcomer,SF International HS,0.0,0,0,5
11,NS,NS: Spanish Newcomer,SF International HS,0.0,0,22,18
11,NX,NX: Newcomer Program,SF International HS,0.0,0,84,75
11,GE,GE: General Education,O'Connell (John) HS,0.0,4,126,123
11,MM,MM: SDC - Mild to Moderate,O'Connell (John) HS,0.0,0,2,2
9,GE,GE: General Education,Lowell HS,2.1,"2,080","1,011","1,011"
10,GE,GE: General Education,Lowell HS,-,0,539,0
11,GE,GE: General Education,Lowell HS,-,0,643,0
12,GE,GE: General Education,Lowell HS,-,0,596,0
9,MM,MM: SDC - Mild to Moderate,Lowell HS,-,24,0,0
11,ED,ED: SDC - SOAR,Mission HS,0.0,0,5,3
11,GE,GE: General Education,Mission HS,0.1,9,178,175
11,MM,MM: SDC - Mild to Moderate,Mission HS,0.1,1,7,7
11,MS,MS: SDC - Extensive Services,Mission HS,0.0,0,5,6
11,NX,NX: Newcomer Program,Mission HS,0.0,1,91,85
11,SA,SA: SDC - Extensive Services Autism Focus,Mission HS,0.0,0,2,2
11,AF,AF: SDC - Mild/Mod Autism Focus,Jordan (June) HS,0.0,0,0,1
11,GE,GE: General Education,Jordan (June) HS,0.0,0,44,50
11,MM,MM: SDC - Mild to Moderate,Jordan (June) HS,0.0,0,0,3
11,GE,GE: General Education,Burton (Phillip and Sala) HS,0.0,0,262,264
11,MM,MM: SDC - Mild to Moderate,Burton (Phillip and Sala) HS,0.0,0,5,8
11,MS,MS: SDC - Extensive Services,Burton (Phillip and Sala) HS,0.0,0,4,4
11,GE,GE: General Education,Wallenberg (Raoul) HS,0.1,17,130,130
11,MM,MM: SDC - Mild to Moderate,Wallenberg (Raoul) HS,0.0,0,3,5
11,GE,GE: General Education,Asawa (Ruth) SOTA HS,-,11,147,0
12,GE,GE: General Education,Asawa (Ruth) SOTA HS,-,7,182,0
11,AO,AO: SDC - Auditory/Oral,The Academy - SF @ McAteer HS,0.0,0,1,3
11,GE,GE: General Education,The Academy - SF @ McAteer HS,0.1,7,45,50
11,MM,MM: SDC - Mild to Moderate,The Academy - SF @ McAteer HS,0.0,0,1,3
11,TC,TC: SDC - Total Communication,The Academy - SF @ McAteer HS,0.0,0,0,3
11,GE,GE: General Education,Marshall (Thurgood) HS,0.0,1,56,50
11,MM,MM: SDC - Mild to Moderate,Marshall (Thurgood) HS,0.0,0,2,2
11,NX,NX: Newcomer Program,Marshall (Thurgood) HS,0.0,0,107,90
12,AF,AF: SDC - Mild/Mod Autism Focus,Lincoln (Abraham) HS,0.0,0,4,4
12,ED,ED: SDC - SOAR,Lincoln (Abraham) HS,0.0,0,1,2
12,GE,GE: General Education,Lincoln (Abraham) HS,0.0,21,460,460
12,MM,MM: SDC - Mild to Moderate,Lincoln (Abraham) HS,0.0,0,20,24
12,MS,MS: SDC - Extensive Services,Lincoln (Abraham) HS,0.0,0,2,3
12,NX,NX: Newcomer Program,Lincoln (Abraham) HS,0.0,0,24,25
12,SA,SA: SDC - Extensive Services Autism Focus,Lincoln (Abraham) HS,0.0,0,4,4
12,GE,GE: General Education,Balboa HS,0.1,15,291,300
12,MM,MM: SDC - Mild to Moderate,Balboa HS,0.0,0,11,11
12,MS,MS: SDC - Extensive Services,Balboa HS,0.0,0,6,6
12,ED,ED: SDC - SOAR,Galileo HS,0.0,0,2,3
12,GE,GE: General Education,Galileo HS,0.0,13,374,367
12,MM,MM: SDC - Mild to Moderate,Galileo HS,0.0,0,9,10
12,MS,MS: SDC - Extensive Services,Galileo HS,0.0,0,3,3
12,NX,NX: Newcomer Program,Galileo HS,0.0,0,29,50
12,ED,ED: SDC - SOAR,Washington (George) HS,0.0,0,1,1
12,GE,GE: General Education,Washington (George) HS,0.0,17,490,495
12,MM,MM: SDC - Mild to Moderate,Washington (George) HS,0.1,1,16,16
12,MS,MS: SDC - Extensive Services,Washington (George) HS,0.0,0,10,10
12,GX,GX: General Education Newcomer,SF International HS,0.0,0,35,5
12,NC,NC: Chinese Newcomer,SF International HS,0.0,0,4,5
12,NS,NS: Spanish Newcomer,SF International HS,0.0,0,4,5
12,NX,NX: Newcomer Program,SF International HS,0.0,1,77,100
12,GE,GE: General Education,O'Connell (John) HS,0.0,4,94,106
12,MM,MM: SDC - Mild to Moderate,O'Connell (John) HS,0.0,0,6,7
10,MM,MM: SDC - Mild to Moderate,Lowell HS,0.2,1,4,5
11,MM,MM: SDC - Mild to Moderate,Lowell HS,0.0,0,11,9
12,MM,MM: SDC - Mild to Moderate,Lowell HS,0.0,0,8,8
9,MS,MS: SDC - Extensive Services,Lowell HS,2.3,7,3,3
10,MS,MS: SDC - Extensive Services,Lowell HS,1.0,1,1,1
12,ED,ED: SDC - SOAR,Mission HS,0.0,0,2,3
12,GE,GE: General Education,Mission HS,0.1,10,182,175
12,MM,MM: SDC - Mild to Moderate,Mission HS,0.1,1,11,10
12,MS,MS: SDC - Extensive Services,Mission HS,0.0,0,5,5
12,NX,NX: Newcomer Program,Mission HS,0.0,0,47,60
12,SA,SA: SDC - Extensive Services Autism Focus,Mission HS,0.0,0,4,4
12,AF,AF: SDC - Mild/Mod Autism Focus,Jordan (June) HS,0.0,0,1,1
12,GE,GE: General Education,Jordan (June) HS,0.1,3,55,50
12,MM,MM: SDC - Mild to Moderate,Jordan (June) HS,0.0,0,2,3
12,GE,GE: General Education,Burton (Phillip and Sala) HS,0.0,4,235,242
12,MM,MM: SDC - Mild to Moderate,Burton (Phillip and Sala) HS,0.0,0,4,8
12,MS,MS: SDC - Extensive Services,Burton (Phillip and Sala) HS,0.0,0,5,5
12,GE,GE: General Education,Wallenberg (Raoul) HS,0.1,10,130,130
9,GE,GE: General Education,Asawa (Ruth) SOTA HS,7.6,"1,330",176,176
10,MM,MM: SDC - Mild to Moderate,Asawa (Ruth) SOTA HS,0.0,0,3,3
12,AO,AO: SDC - Auditory/Oral,The Academy - SF @ McAteer HS,0.0,0,2,3
12,GE,GE: General Education,The Academy - SF @ McAteer HS,0.2,8,56,50
12,MM,MM: SDC - Mild to Moderate,The Academy - SF @ McAteer HS,0.0,0,2,3
12,TC,TC: SDC - Total Communication,The Academy - SF @ McAteer HS,0.0,0,0,2
12,ED,ED: SDC - SOAR,Marshall (Thurgood) HS,0.0,0,2,3
12,GE,GE: General Education,Marshall (Thurgood) HS,0.0,1,59,50
12,MM,MM: SDC - Mild to Moderate,Marshall (Thurgood) HS,0.0,0,1,2
12,NX,NX: Newcomer Program,Marshall (Thurgood) HS,0.0,0,50,60
13,CA,,Balboa HS,1.2,23,20,20
13,CA,,Access SFUSD: Bay Street,0.5,9,20,20
13,CA,,Access SFUSD: The Arc,0.9,18,20,20
13,CA,,Galileo HS,0.5,5,5,10
13,CA,,SF International HS,0.5,5,9,10
13,CA,,O'Connell (John) HS,1.0,10,10,10
11,MS,MS: SDC - Extensive Services,Lowell HS,0.0,0,3,3
13,CA,,Mission HS,0.7,14,20,20
13,CA,,Burton (Phillip and Sala) HS,0.3,9,20,30
13,CA,,Wallenberg (Raoul) HS,0.6,11,19,20
11,MM,MM: SDC - Mild to Moderate,Asawa (Ruth) SOTA HS,0.0,0,4,4
13,CA,,Marshall (Thurgood) HS,0.3,5,11,20
2,GE,GE: General Education,Alamo ES,0.1,8,65,65
2,SA,SA: SDC - Extensive Services Autism Focus,Alamo ES,0.0,0,2,2
2,GE,GE: General Education,Alvarado ES,0.5,22,42,42
2,MS,MS: SDC - Extensive Services,Alvarado ES,0.0,0,3,3
2,SN,SN: Spanish Immersion (Spanish Speakers),Alvarado ES,0.1,6,44,44
2,AF,AF: SDC - Mild/Mod Autism Focus,Argonne ES,0.2,1,5,5
2,GE,GE: General Education,Argonne ES,0.2,13,64,64
2,FB,FB: Filipino FLES,Carmichael (Bessie) K-8,0.0,1,18,22
2,GE,GE: General Education,Carmichael (Bessie) K-8,0.1,6,36,44
2,GE,GE: General Education,Harte (Bret) ES,0.1,2,15,22
2,SN,SN: Spanish Immersion (Spanish Speakers),Harte (Bret) ES,0.0,0,22,22
2,GE,GE: General Education,Bryant ES,0.0,1,21,22
2,SB,SB: Spanish Biliteracy,Bryant ES,0.1,2,22,22
2,NC,NC: Chinese Newcomer,Lee (Edwin and Anita) Newcomer ES,0.0,0,1,5
2,GE,GE: General Education,Clarendon ES,0.9,37,44,42
2,JB,JB: Japanese Bilingual Bicultural Prgram,Clarendon ES,0.3,13,44,44
2,MM,MM: SDC - Mild to Moderate,Clarendon ES,0.0,0,7,7
2,GE,GE: General Education,Lilienthal (Claire) K-8,0.6,35,63,60
2,KN,KN: Korean Immersion (Korean Speakers),Lilienthal (Claire) K-8,0.0,0,22,22
2,GE,GE: General Education,Cleveland ES,0.0,1,10,22
2,SB,SB: Spanish Biliteracy,Cleveland ES,0.0,1,34,33
2,CN,CN: Cantonese Immersion (Cantonese Speakers),Yu (Alice Fong) K-8,0.2,12,66,66
2,GE,GE: General Education,Sloat (Commodore) ES,0.3,17,66,66
2,CB,CB: Cantonese Biliteracy,Lau (Gordon J) ES,0.0,2,66,66
2,GE,GE: General Education,Lau (Gordon J) ES,0.1,3,42,42
2,GE,GE: General Education,SF Community K-8,0.2,5,29,33
2,GE,GE: General Education,Webster (Daniel) ES,0.3,6,22,22
2,SN,SN: Spanish Immersion (Spanish Speakers),Webster (Daniel) ES,0.1,3,44,44
2,GE,GE: General Education,Milk (Harvey) Civil Right ES,0.5,10,22,22
2,GE,GE: General Education,Drew (Dr Charles) College Preparatory Academy ES,0.1,4,44,44
2,CN,CN: Cantonese Immersion (Cantonese Speakers),Chinese Immersion School at DeAvila ES,0.1,4,67,66
2,AF,AF: SDC - Mild/Mod Autism Focus,Taylor (Edward R) ES,0.0,0,6,6
2,CB,CB: Cantonese Biliteracy,Taylor (Edward R) ES,0.0,0,33,33
2,GE,GE: General Education,Taylor (Edward R) ES,0.0,1,42,42
2,SB,SB: Spanish Biliteracy,Taylor (Edward R) ES,0.0,0,21,22
2,AF,AF: SDC - Mild/Mod Autism Focus,El Dorado ES,0.0,0,4,4
