,Block Group,Cencus Tract,Weighted HH Inc Int,Median HH Inc Int,Geoid1,Weighted HH Inc,Median HH Income_x,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!White alone,Total:!!Asian alone,Total:!!Two or More Races,Total:!!Black or African American alone,Total:!!Some Other Race alone,Total:!!American Indian and Alaska Native alone,Total:!!Native Hawaiian and Other Pacific Islander alone,% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,Median HH Income_y,23-24 K count,24-25 K count,Avg K Count,23-24 FRL K count,24-25 FRL K count,Avg FRL K Count,23-24 Asian,23-24 Hispanic,23-24 White,23-24 Black,23-24 Other,24-25 Asian,24-25 Hispanic,24-25 White,24-25 Black,24-25 Other,Avg K Asian,Avg K Hispanic,Avg K White,Avg K Black,Avg K Other,objectid,statefp,countyfp,trctce,geoid,name_,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,Shape__Area,Shape__Length
22,1,615.05,4588,249901,6075061505,"$4,588","$249,901",654,"1,051","1,051",396,548,71,20,15,1,0,37.7%,52.1%,6.8%,1.9%,1.4%,0.1%,0.0%,"$249,901",1.0,2.0,2.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,792,6,75,,6075061505,615.05,Census Tract 615.05,G5020,S,21283,0,37.7891027,-122.3906438,2.17694514503819e-06,0.0062110738366715
23,1,615.06,2697,149483,6075061506,$0,$0,"1,316","1,983","1,983",774,958,161,32,53,5,0,39.0%,48.3%,8.1%,1.6%,2.7%,0.3%,0.0%,,2.0,0.0,1.0,1.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,791,6,75,,6075061506,615.06,Census Tract 615.06,G5020,S,112895,0,37.7876594,-122.3910165,1.15471630124375e-05,0.018634113490298
24,1,615.07,2697,93466,6075061507,"$2,697","$93,466","1,028","1,738","1,738",629,639,112,164,169,23,2,36.2%,36.8%,6.4%,9.4%,9.7%,1.3%,0.1%,"$93,466",12.0,8.0,10.0,5.0,,,8.0,2.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,7.0,2.0,0.0,1.0,2.0,777,6,75,,6075061507,615.07,Census Tract 615.07,G5020,S,336738,299021,37.7907573,-122.3891845,6.50307688374596e-05,0.0421598914067809
25,1,615.08,2697,149483,6075061508,$0,$0,216,521,521,308,130,37,34,6,3,3,59.1%,25.0%,7.1%,6.5%,1.2%,0.6%,0.6%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820,6,75,,6075061508,615.08,Census Tract 615.08,G5020,S,227943,152297,37.785752,-122.3863814,3.88904404644563e-05,0.0310405472462526
26,1,9809.0,1156,137750,6075980900,"$1,156","$137,750",299,"1,248","1,248",454,168,126,235,217,33,15,36.4%,13.5%,10.1%,18.8%,17.4%,2.6%,1.2%,"$137,750",10.0,4.0,7.0,9.0,,,1.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,940,6,75,,6075980900,9809.0,Census Tract 9809,G5020,S,3602295,258160,37.746286,-122.3894769,0.0003946382930735,0.09758319424482
27,2,105.0,3600,209871,6075010500,"$3,600","$209,871",611,865,865,465,261,66,44,20,6,3,53.8%,30.2%,7.6%,5.1%,2.3%,0.7%,0.3%,"$209,871",0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,129,6,75,,6075010500,105.0,Census Tract 105,G5020,S,683605,494314,37.8026835,-122.39905,0.0001205000844493,0.0500392462422885
28,2,176.02,808,44000,6075017602,$808,"$44,000",654,951,951,232,447,79,125,61,5,2,24.4%,47.0%,8.3%,13.1%,6.4%,0.5%,0.2%,"$44,000",1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,992,6,75,,6075017602,176.02,Census Tract 176.02,G5020,S,273225,0,37.7821241,-122.4070181,2.79441724160279e-05,0.0251623780602959
29,2,176.03,949,70000,6075017603,$949,"$70,000",483,"1,131","1,131",284,405,109,121,164,27,21,25.1%,35.8%,9.6%,10.7%,14.5%,2.4%,1.9%,"$70,000",3.0,2.0,3.0,3.0,,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,700,6,75,,6075017603,176.03,Census Tract 176.03,G5020,S,248651,0,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
30,2,176.04,2555,94219,6075017604,"$2,555","$94,219",966,"1,496","1,496",488,657,132,120,84,9,6,32.6%,43.9%,8.8%,8.0%,5.6%,0.6%,0.4%,"$94,219",7.0,20.0,14.0,5.0,,,0.0,2.0,3.0,0.0,2.0,1.0,6.0,0.0,5.0,8.0,1.0,4.0,2.0,3.0,5.0,796,6,75,,6075017604,176.04,Census Tract 176.04,G5020,S,111719,0,37.7798582,-122.4117434,1.14257600216661e-05,0.0154683166241112
31,2,177.0,2726,129844,6075017700,"$2,726","$129,844",748,"1,800","1,800",699,352,228,118,324,73,6,38.8%,19.6%,12.7%,6.6%,18.0%,4.1%,0.3%,"$129,844",25.0,25.0,25.0,17.0,,,4.0,19.0,0.0,0.0,2.0,2.0,13.0,0.0,5.0,5.0,3.0,16.0,0.0,3.0,4.0,1043,6,75,,6075017700,177.0,Census Tract 177,G5020,S,904078,0,37.768044,-122.4124918,9.24471964935947e-05,0.0479024189954166
